Variable,OR,CI_Lower,CI_Upper,p
PA,0.6218182433608411,0.6116842947231739,0.632120084023654,0.0
Female,1.463233440403941,1.4416641848955676,1.4851254012885455,0.0
Age25_34,0.8908880027007653,0.8662237132176294,0.9162545670886694,7.284294441587254e-16
Age35_44,0.7529139758775294,0.7316842285345515,0.7747597022927216,3.0391715370845187e-84
Age45_54,0.6658262107574746,0.6468961857967479,0.6853101821672323,3.8517964398296806e-168
Age55_64,0.5534784625798628,0.5379932242520754,0.5694094176848489,0.0
Age65plus,0.2996983816308426,0.291154401050031,0.3084930869264516,0.0
Black_NH,0.764426498825433,0.7465462161278209,0.7827350262886601,1.2592005266547512e-109
Other_NH,0.744938494937444,0.7161583583142479,0.7748752141159279,1.3966276850452884e-48
Multiracial_NH,1.4584832559094778,1.3992724940200827,1.5201995443053293,3.0193831243591432e-71
Hispanic,0.6219870288124658,0.6055213382064435,0.6389004641138878,1.1918455448965594e-263
HighSchool,0.9010125583068891,0.8756762475832773,0.9270819352097595,7.912270847252306e-13
SomeCollege,0.9784160571182827,0.9504773813111702,1.0071759724637608,0.13988535680819666
CollegeGrad,0.7034646765767573,0.6824025405687951,0.7251768886715525,7.231638948759639e-114
Inc2,0.7146512647079866,0.696263511198042,0.7335246238452614,8.531722589978062e-141
Inc3,0.596650534245602,0.5799111158637421,0.6138731441375015,4.254799411529636e-277
Inc4,0.504916793732127,0.49088740847565315,0.5193471337641281,0.0
Inc5,0.3613762800228796,0.35217042948033145,0.37082277451823437,0.0
Normal,0.7158874551464322,0.6803025636273677,0.7533337015568728,8.773058995329351e-38
Overweight,0.7190115667033163,0.6832726736970028,0.7566197990268394,7.48430013132949e-37
Obese,0.939770862417371,0.8933213624729227,0.9886355694034562,0.0163103390166811
