Year,Age_Group,n,OR,CI_L,CI_U,p
2015,18-24,14546,0.8570018211783789,0.8539619021593182,0.8600525616493323,0.0
2015,25-34,30713,0.7057724144137839,0.7039954423029838,0.7075538718233414,0.0
2015,35-44,38451,0.654208308871712,0.6526230972306332,0.6557973709679121,0.0
2015,45-54,53976,0.5624855960752689,0.561199291557626,0.5637748488847878,0.0
2015,55-64,72565,0.6150183673270658,0.6135352474370255,0.6165050724139101,0.0
2015,65+,104924,0.5828893867089917,0.5813025903780873,0.5844805145578311,0.0
2017,18-24,16446,0.7984602009567758,0.7960484733552531,0.8008792351862473,0.0
2017,25-34,34666,0.7612117298056845,0.7594111144907066,0.7630166145018324,0.0
2017,35-44,39840,0.7430021180303324,0.7412102189391128,0.7447983490941437,0.0
2017,45-54,52933,0.5302346744074279,0.52901440890187,0.5314577546716747,0.0
2017,55-64,73176,0.6041368256001378,0.6027502466984742,0.6055265942160506,0.0
2017,65+,111589,0.5738208802198164,0.5723642997088616,0.5752811675077067,0.0
2019,18-24,16303,0.7602275741431949,0.7581099059112603,0.7623511577690659,0.0
2019,25-34,32900,0.8297716804908658,0.8279068179288567,0.8316407436613248,0.0
2019,35-44,38523,0.7459100790534763,0.7441385734987778,0.7476858018763586,0.0
2019,45-54,45965,0.5879230273240884,0.5865288529291517,0.5893205156604175,0.0
2019,55-64,63786,0.562768644405269,0.5614727070501833,0.5640675729184418,0.0
2019,65+,107415,0.5288702158873944,0.5275475660723249,0.5301961818063488,0.0
2021,18-24,16236,0.8336840825847037,0.8311682000676592,0.8362075804855406,0.0
2021,25-34,35495,0.804035601309328,0.802150189403269,0.8059254447770853,0.0
2021,35-44,45181,0.6801933346293275,0.6785760443566657,0.6818144794851975,0.0
2021,45-54,49372,0.5592903666795734,0.55789965460628,0.5606845454696051,0.0
2021,55-64,61878,0.46549786156156336,0.464411919916225,0.4665863424812108,0.0
2021,65+,106055,0.49945748568256715,0.4982334832039149,0.5006844951491443,0.0
2023,18-24,16926,0.9159208132946167,0.9131592558812747,0.9186907221530085,0.0
2023,25-34,34959,0.7593389197967391,0.7575770659099779,0.7611048711268602,0.0
2023,35-44,44318,0.6217577083750067,0.6203640928552991,0.6231544545791609,0.0
2023,45-54,47192,0.4923659701754533,0.4912210462358051,0.49351356267101454,0.0
2023,55-64,59416,0.45892478115872926,0.4578543585014587,0.45999770636870874,0.0
2023,65+,116310,0.5175536222473512,0.5163558092826244,0.5187542138307605,0.0
2024,18-24,19034,1.0074907905134316,1.0042533242498517,1.0107386935737388,5.505157915517432e-06
2024,25-34,38210,0.758632775724919,0.756925455587656,0.7603439468914076,0.0
2024,35-44,47962,0.6242616556770048,0.6228794981434806,0.6256468801913063,0.0
2024,45-54,49743,0.5009177148676895,0.4997930348753362,0.5020449257178119,0.0
2024,55-64,62044,0.4754210804062878,0.47434389965329254,0.4765007073135932,0.0
2024,65+,124405,0.4731602983276951,0.4720905358409288,0.47423248490833997,0.0
